cat,bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight,coords.x1,coords.x2
792,280,1049,12.74544,44,1,3940,898,3031,679,1466,4588.603516,20,1,304,294,-1952722.74818078,280215.913833839
793,269,1112,14.794735,239,1,3769,889,2912,648,1455,22523.070312,37,2,306,294,-1971547.87476074,288299.975380277
794,277,1076,14.345492,97,1,3685,879,2835,653,1388,2387.679688,32,2,306,294,-1962327.97456362,294658.991836187
795,278,1084,13.320141,68,1,4063,840,2949,697,1304,3987.918945,28,2,305,294,-1938252.58869234,298538.648523921
796,276,1156,12.604631,100,1,3670,859,2721,686,1354,3818.730469,19,2,305,293,-1921623.26733576,316018.474275504
797,280,1050,13.325829,21,1,3832,899,2905,698,1421,6708.449707,7,1,304,294,-1936478.52150539,268746.284472856
798,280,1066,35.82037,47,1,3968,875,2981,680,1382,4263.952148,18,0,306,294,-1957058.84039244,298670.358234072
799,280,1066,35.82037,47,1,3968,875,2981,680,1382,4263.952148,18,0,306,294,-1957794.48599382,298201.444145606
800,272,1120,12.50826,168,1,3667,888,2807,670,1388,4252.86377,43,3,304,294,-1924054.27797429,302009.366542748
801,280,1068,13.459064,23,1,4159,861,3051,687,1215,5048.645508,14,1,304,294,-1932794.35384811,295987.291216614
802,277,1128,14.351523,77,1,3676,851,2764,669,1297,3505.528564,29,2,306,294,-1924015.5433143,311966.698380575
803,276,1065,15.5345,108,1,3710,836,2804,595,1305,4267.524414,17,2,306,294,-1978678.43424847,302524.545506516
804,278,1061,13.110937,40,1,4213,881,3104,724,1379,4449.440918,21,2,304,293,-1920985.59077611,273366.133112699
805,278,1071,20.962713,70,1,3829,840,2877,626,1362,4025.533203,21,1,305,294,-1961898.04866004,296431.271545311
806,275,1118,18.851627,106,1,3766,888,2882,665,1399,14030.145508,15,1,304,294,-1923505.58802889,305517.16472175
807,279,1094,12.381948,72,1,4054,746,2868,564,1204,4138.247559,22,2,305,294,-1964044.73525618,315106.936071358
808,278,1116,12.989243,68,1,3760,876,2790,694,1423,4281.911621,20,1,306,294,-1932043.59599479,309396.114996334
809,280,1084,11.695859,56,1,3769,821,2789,638,1204,3745.515137,34,4,305,294,-1932395.40904881,301298.847599485
810,275,1071,13.064723,70,1,4049,958,3115,750,1486,1972.071289,13,1,304,293,-1913584.32565186,273454.679056897
811,278,1067,12.354084,62,1,3855,875,2884,683,1270,4351.754883,32,2,304,294,-1934913.7960852,291711.063600925
812,280,1046,29.003418,18,1,3688,926,2884,721,1312,4072.68042,7,1,305,294,-1934708.59787961,280742.029476873
813,277,1062,11.541315,100,1,3859,879,2862,703,1292,4364.424805,50,5,305,294,-1935369.15229807,287349.801826089
814,276,1071,13.703579,70,1,4116,973,3250,771,1545,4384.097656,33,3,305,294,-1924127.69039214,287373.622518058
815,273,1105,11.384276,169,1,4050,799,2951,636,1197,4579.498047,116,6,305,294,-1940746.68282567,298756.301575726
816,277,1118,13.590534,105,1,3727,852,2830,615,1317,4381.177734,25,2,306,294,-1943832.17048729,311072.083755829
817,274,1078,13.693069,125,1,3813,798,2810,587,1277,4100.535156,47,2,305,294,-1978361.69131907,310615.618018967
818,280,1080,13.022929,56,1,3818,842,2819,646,1349,4242.763672,18,1,305,294,-1957298.95241772,303132.109725605
819,278,1060,16.744152,39,1,3978,871,2968,684,1336,4077.751465,48,1,305,294,-1930380.32512839,285933.022924108
820,280,1079,13.027735,55,1,3656,851,2788,615,1321,3966.158936,24,1,305,294,-1956744.74847381,303750.833509713
821,279,1064,12.660296,55,1,3672,884,2825,667,1349,3992.41748,21,1,306,294,-1953709.48050873,293630.215233607
822,276,1065,13.506907,115,1,3758,847,2811,624,1305,3923.204346,20,1,306,294,-1978981.96606062,300474.386039531
823,275,1150,13.916146,111,1,3616,893,2783,728,1345,3727.852539,37,2,305,294,-1917970.17909092,314691.324212605
824,276,1070,14.484856,66,1,4143,959,3198,766,1515,4841.943848,23,2,304,294,-1924611.99801721,288638.522179445
825,276,1084,12.033776,81,1,4137,874,3050,675,1286,3942.486084,49,3,304,294,-1927130.95606569,294820.635493882
826,276,1111,12.745278,124,1,3639,1006,3015,678,1759,4322.341797,35,1,307,294,-1954350.12279788,310960.616381449
827,273,1098,11.045865,219,1,3863,822,2838,637,1224,4684.09668,116,15,303,294,-1939276.19583828,295111.978076377
828,279,1064,19.713686,49,1,3800,890,2900,685,1365,4139.320312,19,1,306,294,-1952895.19118463,292032.191114983
829,276,1086,12.404407,121,1,3834,821,2853,589,1322,41922.652344,22,2,306,294,-1970935.8814472,305675.603404527
830,276,1081,12.333172,90,1,3860,843,2848,665,1285,4123.121582,49,2,304,294,-1927320.28025643,293375.420955379
831,279,1056,18.28903,36,1,3798,908,2874,707,1323,4325.136719,18,1,305,294,-1933408.25028422,286177.959633825
832,276,1072,12.130177,90,1,4238,951,3295,715,1484,4712.437988,25,3,305,294,-1922589.53296317,288262.191317265
833,276,1091,12.720373,113,1,4203,796,3023,593,1300,4269.765137,25,1,306,294,-1967425.88290148,310991.19433708
834,280,1068,12.275646,38,1,3695,922,2852,695,1288,4329.816895,23,2,304,294,-1932952.60733128,294420.717607102
835,280,1060,16.005829,22,1,4028,880,3009,695,1295,4535.035156,6,0,304,294,-1932431.41411812,291359.452760144
836,280,1061,13.626806,26,1,3818,853,2862,684,1283,4253.480957,17,1,304,294,-1931980.55297762,292559.220991269
837,279,1052,13.706361,23,1,4575,719,3082,623,921,4339.085449,7,0,303,294,-1927893.35717454,280760.187082779
838,276,1080,16.6077,94,1,3712,866,2795,657,1442,3990.34668,37,2,306,294,-1963749.71953056,297947.765120281
839,266,1131,12.508605,261,1,3764,875,2833,677,1369,4652.904297,71,2,304,294,-1924146.64851239,297004.119888235
